iter	Passed	Remaining
773	169251	49419
774	169464	49199
775	169680	48979
776	169894	48760
777	170111	48540
778	170329	48321
779	170543	48102
780	170760	47882
781	170971	47662
782	171192	47444
783	171406	47224
784	171636	47008
785	171849	46788
786	172067	46569
787	172284	46350
788	172500	46131
789	172713	45911
790	172933	45692
791	173156	45475
792	173388	45260
793	173628	45047
794	173859	44831
795	174096	44617
796	174332	44403
797	174545	44183
798	174764	43964
799	174979	43744
800	175191	43524
801	175406	43304
802	175621	43085
803	175836	42865
804	176053	42646
805	176267	42426
806	176477	42205
807	176695	41986
808	176918	41769
809	177134	41550
810	177352	41331
811	177569	41112
812	177784	40892
813	178009	40675
814	178235	40458
815	178452	40239
816	178668	40020
817	178887	39801
818	179104	39582
819	179328	39364
820	179550	39146
821	179770	38928
822	179989	38709
823	180202	38489
824	180418	38270
825	180636	38051
826	180857	37833
827	181074	37614
828	181291	37395
829	181510	37176
830	181724	36957
831	181938	36737
832	182155	36518
833	182372	36299
834	182587	36080
835	182800	35860
836	183026	35643
837	183243	35424
838	183463	35205
839	183678	34986
840	183894	34767
841	184109	34547
842	184325	34328
843	184546	34110
844	184763	33891
845	184978	33672
846	185200	33454
847	185412	33234
848	185624	33014
849	185837	32794
850	186054	32575
851	186267	32356
852	186481	32136
853	186695	31917
854	186910	31698
855	187129	31479
856	187351	31261
857	187563	31042
858	187782	30823
859	187998	30604
860	188217	30385
861	188429	30166
862	188645	29947
863	188862	29728
864	189080	29509
865	189296	29290
866	189509	29071
867	189725	28852
868	189939	28632
869	190156	28414
870	190370	28194
871	190590	27976
872	190812	27758
873	191032	27540
874	191251	27321
875	191470	27103
876	191691	26884
877	191909	26666
878	192127	26447
879	192341	26228
880	192554	26009
881	192833	25798
882	193068	25582
883	193285	25363
884	193499	25144
885	193710	24924
886	193929	24705
887	194146	24486
888	194363	24268
889	194580	24049
890	194801	23830
891	195016	23611
892	195235	23393
893	195452	23174
894	195666	22955
895	195882	22736
896	196108	22518
897	196323	22299
898	196540	22080
899	196757	21861
900	196972	21642
901	197192	21424
902	197407	21205
903	197623	20986
904	197837	20767
905	198055	20548
906	198272	20329
907	198486	20111
908	198699	19891
909	198918	19673
910	199131	19454
911	199347	19235
912	199565	19016
913	199785	18798
914	200003	18579
915	200224	18361
916	200445	18142
917	200663	17924
918	200876	17705
919	201097	17486
920	201317	17268
921	201536	17049
922	201753	16831
923	201973	16612
924	202187	16393
925	202401	16174
926	202613	15955
927	202832	15737
928	203056	15518
929	203272	15300
930	203490	15081
931	203707	14862
932	203924	14644
933	204142	14425
934	204360	14206
935	204572	13987
936	204790	13769
937	205013	13550
938	205226	13332
939	205437	13113
940	205652	12894
941	205864	12675
942	206077	12456
943	206291	12237
944	206517	12019
945	206730	11800
946	206946	11581
947	207156	11363
948	207373	11144
949	207587	10925
950	207807	10707
951	208022	10488
952	208239	10269
953	208454	10051
954	208666	9832
955	208975	9618
956	209201	9399
957	209422	9181
958	209635	8962
959	209850	8743
960	210071	8525
961	210285	8306
962	210502	8087
963	210711	7868
964	210924	7650
965	211144	7431
966	211359	7212
967	211577	6994
968	211787	6775
969	212009	6556
970	212223	6338
971	212441	6119
972	212655	5901
973	212870	5682
974	213092	5463
975	213317	5245
976	213533	5026
977	213752	4808
978	213966	4589
979	214190	4371
980	214405	4152
981	214622	3934
982	214836	3715
983	215055	3496
984	215280	3278
985	215496	3059
986	215711	2841
987	215923	2622
988	216134	2403
989	216355	2185
990	216571	1966
991	216790	1748
992	217007	1529
993	217236	1311
994	217447	1092
995	217667	874
996	217889	655
997	218112	437
998	218326	218
999	218540	0
